V,T,P1,P2,RM1,YM23,M1,M3,C1,C2,C3,C4,C5,C6
40,75,5.4,5,3.800904977,30.30%,0.5,50.1,98.96,1,NA,NA,0.02,0.02
40,75,4.2,5,2.171945701,20.00%,0.5,50.1,99.57,0.39,NA,NA,0.01,0.03
40,120,5.5,5,1.900452489,30.30%,0.5,50.1,92.95,6.82,0.02,NA,0.07,0.14
40,120,6.4,5,4.253393665,20.00%,0.5,50.1,92.57,7.16,0.03,0.08,0.07,0.09
40,103,5.8,5,3.619909502,36.40%,0.5,30,92.5,7.35,0.02,0.03,0.06,0.05
40,103,6.5,5,5.429864253,36.40%,0.5,30,94.83,4.99,0.02,0.03,0.04,0.1
40,75,5,5,4.886877828,55.60%,0.5,10,85.66,11.11,1.55,0.11,0.95,0.62
40,75,6.1,5,9.773755656,55.60%,0.5,10,84.29,11.69,1.85,0.12,1.41,0.64
40,120,5.6,5,5.610859729,55.60%,0.5,10,12.62,22.85,59.16,2.43,1.64,1.3
40,120,7.9,5,9.411764706,68.50%,0.5,10,1.01,52.38,25.18,10.6,6.25,4.59
40,75,6.1,5,4.705882353,68.50%,0.5,10,0.38,70.38,20.58,3.39,2.27,3
40,75,5.4,5,4.705882353,68.53%,0.5,10,0.3,69.17,25.02,2.59,1.04,1.88
40,75,7.7,5,9.411764706,68.53%,0.5,10,0.38,68.7,25.13,2.28,1.32,2.19
40,75,5.8,0,12.48868778,68.53%,0.5,10,0.35,70.63,24.01,1.87,1.26,1.88
40,75,5.2,2.5,10.67873303,60.00%,0.5,10,69.55,17.67,5.55,0.19,4.87,2.17
40,75,5.4,2.5,10.31674208,62.00%,0.5,10,1.36,65.1,27.86,0.47,2.65,2.56
40,75,5.5,2.5,10.04524887,63.90%,0.5,10,0.4,59.33,32.87,0.56,1.81,5.03
40,75,6.3,2.5,9.321266968,68.50%,0.5,10,0.42,68.78,24,2.35,1.68,2.77
40,75,3.6,0,9.321266968,68.50%,0.5,10,0.49,68.25,24.07,2.46,1.9,2.83
40,75,5.4,0,12.39819005,68.50%,0.5,10,0.28,71.63,21.87,1.52,2.7,2
40,75,5.6,2,9.321266968,68.50%,0.5,10,1.06,64.51,26.68,2,5.07,0.68
40,75,5.2,1.5,14.2081448,60.00%,0.5,10,94.66,2.99,0.41,0.05,0.87,1.03
40,75,5.4,1.5,13.84615385,62.00%,0.5,10,77.79,10.15,3.61,0.19,6.56,1.71
40,75,5.7,1.5,13.39366516,63.89%,0.5,10,2.2,55.68,39.2,0.49,0.87,1.56
40,75,6.2,1.5,12.39819005,68.50%,0.5,10,0.34,71.29,23.2,1.88,1.33,1.99
40,75,4.6,1.5,9.321266968,68.50%,0.5,10,0.28,69.65,23.06,1.66,1.22,4.13
40,65,4.6,1.5,9.321266968,68.50%,0.5,10,0.66,66.17,27.86,0.58,2.66,2.07
40,55,4.8,1.5,9.321266968,68.50%,0.5,10,78.91,7.48,3.08,0.17,8.68,1.68
40,45,5.1,1.5,9.321266968,68.50%,0.5,10,93.36,1.97,0.63,0.05,2.49,1.5
40,35,5.5,1.5,9.321266968,68.50%,0.5,10,96.78,0.71,0.11,0.03,1.03,1.34
40,75,4.7,1.5,9.321266968,68.50%,0.5,10,0.52,70.7,22.61,2.16,1.86,2.15
32,75,4.3,1.5,9.321266968,68.50%,0.5,10,0.45,70.5,23.93,2.57,1.89,0.68
24,75,4,1.5,9.321266968,68.50%,0.5,10,29,20.92,16.45,0.66,23.31,3.67
16,75,3.9,1.5,9.321266968,68.50%,0.5,10,74.69,4.77,2.82,0.43,14.76,1.55
8,75,3.6,1.5,9.321266968,68.50%,0.5,10,93.94,1.45,0.43,0.11,3.65,0.44
40,90,4.8,2,9.321266968,68.50%,0.5,10,0.76,61.89,22.9,8.16,3.42,2.87
32,90,,,9.321266968,68.50%,0.5,10,,,,,,
24,90,,,9.321266968,68.50%,0.5,10,,,,,,
16,90,3.7,2,9.321266968,68.50%,0.5,10,0.83,61.7,27.55,3.32,3.76,2.86
8,90,3.4,2,9.321266968,68.50%,0.5,10,22.505,22.51,18.01,1.01,32.68,3.3
